,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
63,2020pj,"['ATLAS20cab', 'ZTF20aabqihu', '2020pj', 'AT2020pj']",232d53m44.5139376s,33d05m41.6801292s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2020TNSTR..79....1N', '2020TNSCR2829....1H']",58850.50952546296,0.068,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020pj.json
64,DES14C1kia,"['DES 14C1kia', 'DES14C1kia']",53d41m52.35s,-26d19m35s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ATel.6877....1F', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G', '2023arXiv230813595C']",2014-01-01 00:00:00.000,0.162,True,False,/home/nfranz/astro-otter/otterdb/.otter/DES14C1kia.json
65,2018iih,"['2018iih', 'ATLAS18yzs', 'Gaia18dpo', 'ZTF18acaqdaa', 'AT2018iih']",262d00m58.8518604s,30d41m31.5128184s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2018TNSTR1750....1T', '2020TNSCR2246....1D']",58431.19599537037,0.212,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018iih.json
66,PTF09axc,"['PTF 09axc', 'PTF-09axc', 'PTF09axc']",223d18m15.9s,22d14m32.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G']",2009-06-20 00:00:00.000,0.1146,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF09axc.json
67,SRGE J171423.6+085236,['SRGE J171423.6+085236'],258d35m54.2148s,8d52m36.9048s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-09-18 00:00:00.000,0.036,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J171423.6+085236.json
68,2022wtn,"['ATLAS22bikj', 'ZTF22abkfhua', '2022wtn', 'PS22jwq', 'AT2022wtn']",350d50m56.7672s,10d41m07.8108s,"['2022TNSTR2885....1F', '2024MNRAS.527.2452M', '2022TNSCR3389....1F']",59854.255,0.0491,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022wtn.json
69,XMMSL1 J061927.1-655311,['XMMSL1 J061927.1-655311'],94d51m45s,-65d53m07s,"['2014A&A...572A...1S', '2023PASP..135c4101G']",2012-11-12 00:00:00.000,0.0729,False,False,/home/nfranz/astro-otter/otterdb/.otter/XMMSL1-J061927.1-655311.json
70,2018hyz,"['ZTF18acpdvos', 'ATLAS18bafs', '2018hyz', 'ASASSN-18zj', 'AT2018hyz']",151d42m43.125s,1d41m33.96s,"['2022ApJ...938...28C', '2020MNRAS.497.1925G', '2020MNRAS.tmp.2047S', '2016A&A...594A..13P', '2017ApJ...835...64G', '2020MNRAS.498.4119S', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018ATel12218....1H', '2018TNSCR1764....1A', '2018TNSTR1708....1B', '2022ATel15307....1H', '2024MNRAS.527.7672S']",2018-10-14 00:00:00.000,0.0457,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018hyz.json
71,eRASSt J234403-352640,['eRASSt J234403-352640'],356d00m43.5s,-35d26m39.4s,"['2023A&A...672A.167H', '2024MNRAS.528.7123G']",2020-11-28 00:00:00.000,0.1,True,False,/home/nfranz/astro-otter/otterdb/.otter/eRASSt-J234403-352640.json
72,UGC 01791,['UGC 01791'],34d58m22.8s,28d14m52.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-01-09 00:00:00.000,0.015881,False,False,/home/nfranz/astro-otter/otterdb/.otter/UGC-01791.json
