mjd,mag,magerr,filter,wavelength
55343.8498857,17.286,0.075,W1,34002.551861150176
55343.8498857,17.437,0.15,W2,46520.081762929745
55343.9821895,17.297,0.073,W1,34002.551861150176
55343.9821895,17.145,0.109,W2,46520.081762929745
55344.0482778,17.361,0.082,W1,34002.551861150176
55344.0482778,17.377,0.134,W2,46520.081762929745
55344.1144934,17.343,0.076,W1,34002.551861150176
55344.1144934,17.311,0.138,W2,46520.081762929745
55344.1805817,17.348,0.079,W1,34002.551861150176
55344.1805817,17.319,0.124,W2,46520.081762929745
55344.2467972,17.353,0.086,W1,34002.551861150176
55344.2467972,17.093,0.106,W2,46520.081762929745
55344.3128854,17.232,0.074,W1,34002.551861150176
55344.3128854,17.341,0.144,W2,46520.081762929745
55344.4451893,17.323999999999998,0.076,W1,34002.551861150176
55344.4451893,17.205,0.117,W2,46520.081762929745
55344.577493,17.131,0.063,W1,34002.551861150176
55344.577493,17.522,0.182,W2,46520.081762929745
55344.7097969,17.4,0.089,W1,34002.551861150176
55344.7097969,17.431,0.145,W2,46520.081762929745
55361.21821,18.27,0.13,C,6178.184964660442
55361.22275,18.29,0.13,C,6178.184964660442
55361.22731,18.18,0.12,C,6178.184964660442
55361.23188,18.2,0.12,C,6178.184964660442
55533.7651893,17.332,0.079,W1,34002.551861150176
55533.7651893,17.308,0.141,W2,46520.081762929745
55533.8974937,17.355,0.078,W1,34002.551861150176
55533.8974937,17.338,0.145,W2,46520.081762929745
55534.029798,17.276,0.075,W1,34002.551861150176
55534.029798,18.121000000000002,0.237,W1,34002.551861150176
55534.029798,17.123,0.114,W2,46520.081762929745
55534.029798,18.25,0.388,W2,46520.081762929745
55534.0958865,17.345,0.079,W1,34002.551861150176
55534.0958865,17.251,0.123,W2,46520.081762929745
55534.161975,17.598,0.114,W1,34002.551861150176
55534.161975,17.442,0.15,W2,46520.081762929745
55534.1621023,17.404,0.084,W1,34002.551861150176
55534.1621023,17.637999999999998,0.17,W2,46520.081762929745
55534.2281908,17.34,0.078,W1,34002.551861150176
55534.2281908,17.209,0.125,W2,46520.081762929745
55534.2942793,17.235,0.081,W1,34002.551861150176
55534.2942793,17.266,0.119,W2,46520.081762929745
55534.3603678,17.283,0.074,W1,34002.551861150176
55534.3603678,17.58,0.166,W2,46520.081762929745
55534.3604952,17.396,0.097,W1,34002.551861150176
55534.3604952,17.541999999999998,0.18,W2,46520.081762929745
55534.4926722,17.451,0.083,W1,34002.551861150176
55534.4926722,17.56,0.187,W2,46520.081762929745
55534.6249765,17.145,0.077,W1,34002.551861150176
55534.6249765,17.416999999999998,0.149,W2,46520.081762929745
55534.7572808,17.4,0.085,W1,34002.551861150176
55534.7572808,17.216,0.125,W2,46520.081762929745
55577.38475,18.16,0.14,C,6178.184964660442
55577.39209,18.24,0.14,C,6178.184964660442
55577.39932,18.44,0.16,C,6178.184964660442
55577.40662,18.05,0.13,C,6178.184964660442
55585.6266023801,17.759356026270538,0.03042744692932932,z,8961.488333992429
55585.6373786144,17.776651997418575,0.038872297761011095,z,8961.488333992429
55618.31794,18.16,0.12,C,6178.184964660442
55618.3254,18.15,0.12,C,6178.184964660442
55618.33292,18.2,0.12,C,6178.184964660442
55618.34037,18.31,0.13,C,6178.184964660442
55625.30961,18.15,0.1,C,6178.184964660442
55625.31874,18.3,0.1,C,6178.184964660442
55625.32791,18.28,0.1,C,6178.184964660442
55625.33704,18.12,0.1,C,6178.184964660442
55646.35625,18.24,0.12,C,6178.184964660442
55646.36374,18.24,0.12,C,6178.184964660442
55646.37131,18.15,0.12,C,6178.184964660442
